Row Labels,Average of viewers,Average of imdb_rating
1,27.27928571,7.528571429
2,31.01666667,7.546666667
3,20.144,7.333333333
4,20.47,7.58
5,21.50333333,7.588888889
6,20.133,7.78
7,21.32466667,8.26
8,23.046875,7.76875
9,19.88230769,7.615384615
10,20.54571429,7.985714286
11,18.37666667,7.713333333
12,16.68071429,7.585714286
13,15.62,7.713333333
14,14.07785714,7.185714286
15,14.36307692,7.692307692
16,12.432,7.713333333
17,12.54,7.442857143
18,11.86466667,7.6
19,12.201875,7.375
20,12.31733333,8.226666667
21,11.9125,6.89375
22,11.16546667,6.766666667
23,10.9525,7.30625
24,10.06866667,6.92
25,10.248,7.773333333
26,9.473333333,7.54
27,9.600666667,7.373333333
28,9.435,8.071428571
29,9.34,7.492857143
30,9.623571429,7.757142857
31,9.051428571,8.421428571
32,8.948,7.673333333
33,8.427857143,7.9
34,8.010769231,7.969230769
35,8.09,7.228571429
36,7.753571429,7.221428571
37,7.295714286,8.042857143
38,7.232857143,7.764285714
39,6.448571429,7.25
40,7.639285714,8.342857143
41,5.695384615,5.823076923
42,5.367692308,7.392307692
43,4.993846154,7.469230769
(blank),,
Grand Total,13.06436393,7.570819672
