Countries,SeasonCount,Lat,Lon,
Australia,1,-25.274398,133.775136,
Brazil,2,-14.235004,-51.92528,
Cambodia,2,12.565679,104.990963,
China,1,35.86166,"104.195397	",
Cook Islands,1,-21.236736,-159.777671,
Fiji,12,-16.578193,179.414413,
French Polynesia,1,-17.679742,-149.406843,
Gabon,1,-0.803689,11.609444,
Guatemala,1,15.783471,-90.230759,
Kenya,1,-0.023559,37.906193,
Malaysia,1,4.210484,101.975766,
Nicaragua,4,12.865416,-85.207229,
Palau,2,7.51498,134.58252,
Panama,3,8.537981,-80.782127,
Philippines,4,12.879721,121.774017,
Samoa,4,-13.759029,-172.104629,
Thailand,1,15.870032,100.992541,
Vanuatu,1,-15.376706,166.959158,
