Countries,SeasonCount,Lat,Lon,SeasonsList
Australia,1,-25.274398,133.775136,Season 2 
Brazil,2,-14.235004,-51.92528,Seasons 6 & 18
Cambodia,2,12.565679,104.990963,Seasons 31 & 32
China,1,35.86166,"104.195397	",Season 15
Cook Islands,1,-21.236736,-159.777671,Season 13
Fiji,12,-16.578193,179.414413,"Seasons 14, 33 to 43"
French Polynesia,1,-17.679742,-149.406843,Season 4
Gabon,1,-0.803689,11.609444,Season 17
Guatemala,1,15.783471,-90.230759,Season 11
Kenya,1,-0.023559,37.906193,Season 3
Malaysia,1,4.210484,101.975766,Season 1
Nicaragua,4,12.865416,-85.207229,"Seasons 21, 22, 29 & 30"
Palau,2,7.51498,134.58252,Seasons 10 & 16
Panama,3,8.537981,-80.782127,"Seasons 7, 8 & 12"
Philippines,4,12.879721,121.774017,"Seasons 25, 26, 27 & 28"
Samoa,4,-13.759029,-172.104629,"Seasons 19, 20, 23 & 24"
Thailand,1,15.870032,100.992541,Season 4
Vanuatu,1,-15.376706,166.959158,Season 9
