Row Labels,No. of contestants,lat,long
Alabama,13,32.318231,-86.902298
Arizona,9,34.048928,-111.093731
Arkansas,5,35.20105,-91.831833
California,200,36.778261,-119.417932
Colorado,10,39.550051,-105.782067
Connecticut,8,41.603221,-73.087749
Delaware,2,38.910832,-75.52767
District of Columbia,7,38.905985,-77.033418
Florida,50,27.664827,-81.515754
Georgia,8,32.157435,-82.907123
Hawaii,2,19.898682,-155.665857
Idaho,5,44.068202,-114.742041
Illinois,21,40.633125,-89.398528
Indiana,8,40.551217,-85.602364
Iowa,7,"41.878003	",-93.097702
Kansas,5,39.011902,-98.484246
Kentucky,10,37.839333,-84.270018
Louisiana,16,31.244823,-92.145024
Maine,5,45.253783,-69.445469
Maryland,5,39.045755,-76.641271
Massachusetts,27,42.407211,-71.382437
Michigan,9,44.314844,-85.602364
Minnesota,7,46.729553,-94.6859
Mississippi,1,32.354668,-89.398528
Missouri,12,37.964253,-91.831833
Montana,2,46.879682,-110.362566
Nebraska,2,41.492537,-99.901813
Nevada,7,38.80261,-116.419389
New Hampshire,6,43.193852,-71.572395
New Jersey,23,40.058324,-74.405661
New York,72,43.299428,-74.217933
North Carolina,22,35.759573,-79.0193
Ohio,10,40.417287,-82.907123
Oklahoma,3,35.007752,-97.092877
Oregon,9,43.804133,-120.554201
Pennsylvania,23,41.203322,-77.194525
Rhode Island,7,41.580095,-71.477429
South Carolina,17,33.836081,-81.163725
South Dakota,1,43.969515,-99.901813
Tennessee,18,35.517491,-86.580447
Texas,46,31.968599,-99.901813
Utah,16,39.32098,-111.093731
Vermont,2,44.558803,-72.577841
Virginia,17,37.431573,-78.656894
Washington,14,47.751074,-120.740139
Washington DC,4,38.9072,-77.009056
Wisconsin,7,43.78444,-88.787868
Wyoming,1,43.075968,-107.290284
,,,
,,,
